gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
IL2RA,3.07E-20,-0.731923423,0.045,0.145,5.00E-16,down
PARP11,1.20E-19,0.275405674,0.136,0.063,1.95E-15,up
H2AFZ,3.84E-20,-0.447981886,0.539,0.661,6.26E-16,down
NR4A2,4.12E-20,-1.00311886,0.102,0.22,6.72E-16,down
TNS3,5.52E-20,-0.440692364,0.002,0.076,8.99E-16,down
GPR183,1.88E-17,0.274197268,0.511,0.369,3.06E-13,up
BAG1,9.52E-13,0.274096842,0.446,0.35,1.55E-08,up
INPP4B,7.43E-10,0.27235557,0.25,0.178,1.21E-05,up
PRNP,1.05E-19,-0.557701012,0.368,0.491,1.71E-15,down
EEF1D,1.02E-33,0.272261124,0.97,0.938,1.66E-29,up
EIF4G2,1.40E-19,-0.406659689,0.509,0.63,2.28E-15,down
SLC1A5,1.99E-19,-0.586631989,0.164,0.286,3.24E-15,down
FAM118A,2.41E-14,0.270048337,0.36,0.256,3.93E-10,up
LRRFIP1,2.89E-19,-0.469779193,0.582,0.684,4.72E-15,down
RPL41,1.00E-59,0.269773532,1,0.999,1.63E-55,up
PSTPIP1,1.48E-11,0.26651562,0.299,0.214,2.41E-07,up
AOAH,3.20E-16,0.266090591,0.212,0.122,5.22E-12,up
FGFBP2,2.18E-16,0.264314248,0.061,0.02,3.56E-12,up
RAB27A,3.88E-19,-0.551300885,0.432,0.546,6.33E-15,down
GBP3,9.52E-17,0.26417348,0.165,0.088,1.55E-12,up
TRAV26-2,2.20E-10,0.263501772,0.046,0.018,3.58E-06,up
DBN1,8.57E-19,-0.40139044,0.033,0.124,1.40E-14,down
IL32,6.27E-19,0.260140173,0.908,0.802,1.02E-14,up
AZI2,7.66E-11,0.259870836,0.221,0.148,1.25E-06,up
APOBEC3H,1.04E-12,0.259160235,0.124,0.067,1.70E-08,up
SLAMF1,1.04E-18,-0.571000435,0.148,0.267,1.70E-14,down
NEK7,4.25E-11,0.259139035,0.229,0.154,6.92E-07,up
TRAV26-1,3.96E-09,0.258938507,0.065,0.031,6.46E-05,up
CYBA,2.54E-15,0.25885856,0.871,0.778,4.14E-11,up
CSF1,1.39E-18,-0.521077672,0.022,0.106,2.27E-14,down
RNASEH2B,3.49E-12,0.258333112,0.275,0.19,5.68E-08,up
LGALS3,1.70E-18,-0.524041772,0.343,0.468,2.77E-14,down
SEC11A,1.95E-18,-0.395405981,0.355,0.489,3.18E-14,down
TMEM140,1.21E-11,0.257361238,0.196,0.124,1.97E-07,up
SRSF2,2.98E-18,-0.567163515,0.567,0.665,4.85E-14,down
TNFRSF9,3.14E-18,-0.683881147,0.142,0.261,5.12E-14,down
GGA2,1.61E-08,0.256898198,0.38,0.306,2.62E-04,up
FTH1,5.64E-18,-0.023321335,0.994,0.98,9.19E-14,down
AP001610.1,1.91E-50,0.256878128,0.078,0.012,3.12E-46,up
SFPQ,6.68E-18,-0.46002697,0.303,0.426,1.09E-13,down
GIMAP1,5.48E-15,0.256551335,0.157,0.085,8.93E-11,up
RPS24,1.00E-37,0.256078374,0.999,0.981,1.63E-33,up
HOPX,1.48E-17,-0.621238165,0.126,0.236,2.41E-13,down
ETF1,1.60E-17,-0.434250951,0.157,0.271,2.60E-13,down
RPS23,4.38E-43,0.256050278,0.999,0.989,7.13E-39,up
TTTY15,4.62E-24,0.255030695,0.1,0.035,7.53E-20,up
HNRNPH1,2.77E-17,-0.421398852,0.208,0.332,4.51E-13,down
CBLB,2.99E-17,-0.416825901,0.455,0.572,4.87E-13,down
JUN,3.00E-17,-0.536440684,0.614,0.708,4.88E-13,down
NR4A1,3.36E-17,-0.983659618,0.07,0.167,5.48E-13,down
ZBTB38,6.83E-11,0.253590921,0.263,0.182,1.11E-06,up
Sep 09,6.00E-08,0.249053025,0.404,0.328,9.78E-04,up
LGALS9,2.06E-19,0.249005108,0.123,0.055,3.35E-15,up
JUND,5.84E-17,-0.495253824,0.172,0.288,9.51E-13,down
HELB,1.44E-11,0.248408252,0.195,0.124,2.34E-07,up
GSTK1,5.26E-12,0.246533868,0.497,0.402,8.57E-08,up
SUSD3,2.57E-09,0.245360452,0.198,0.133,4.18E-05,up
CAPN2,3.65E-11,0.245144819,0.562,0.465,5.96E-07,up
NR4A3,1.15E-16,-0.686068833,0.046,0.133,1.87E-12,down
S100A4,1.18E-16,-0.787094535,0.315,0.422,1.92E-12,down
LINC01871,1.18E-16,-0.474940498,0.154,0.268,1.93E-12,down
ZFP36L1,1.31E-16,-0.65806569,0.606,0.66,2.14E-12,down
YBX1,1.66E-16,-0.294037506,0.821,0.862,2.71E-12,down
ANXA6,8.47E-13,0.243867191,0.468,0.358,1.38E-08,up
RPS12,3.46E-40,0.243699086,1,0.997,5.65E-36,up
ADGRG1,2.06E-16,-0.379354078,0.024,0.101,3.36E-12,down
CD38,2.03E-12,0.242627464,0.072,0.031,3.31E-08,up
DDX3X,2.29E-16,-0.424226681,0.279,0.405,3.73E-12,down
TDRD7,4.46E-22,0.242464431,0.09,0.031,7.26E-18,up
ZCCHC2,1.41E-13,0.241983301,0.135,0.073,2.30E-09,up
KIR2DL4,3.72E-16,-0.347203645,0.004,0.065,6.06E-12,down
MT-ATP8,4.07E-16,-0.515890026,0.69,0.746,6.64E-12,down
BTN3A3,9.09E-10,0.240299211,0.22,0.151,1.48E-05,up
CCL4,4.34E-16,-2.018263491,0.281,0.381,7.07E-12,down
PLEK,2.13E-20,0.239482402,0.215,0.114,3.47E-16,up
GABARAPL1,5.26E-16,-0.498707511,0.404,0.502,8.57E-12,down
DTHD1,8.52E-21,0.238975487,0.146,0.066,1.39E-16,up
PSMA7,6.35E-16,-0.278739055,0.813,0.838,1.03E-11,down
DYNLL1,7.17E-16,-0.504250768,0.407,0.522,1.17E-11,down
HLA-DQA2,7.84E-16,-0.456738487,0.083,0.182,1.28E-11,down
RPL28,3.82E-41,0.237155701,1,0.996,6.22E-37,up
AKAP5,1.19E-15,-0.308169332,0.02,0.092,1.94E-11,down
CTLA4,1.25E-15,-0.459903961,0.081,0.174,2.04E-11,down
CD55,1.27E-15,-0.473966856,0.188,0.302,2.06E-11,down
FAM3C,1.36E-15,-0.589085507,0.091,0.185,2.21E-11,down
IL21R,1.36E-15,-0.393971721,0.087,0.184,2.22E-11,down
TNFSF13B,9.48E-34,0.237054241,0.049,0.007,1.54E-29,up
PRRC2C,1.70E-15,-0.319634757,0.689,0.765,2.77E-11,down
