"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"415","SNAP47",1.24373563565862e-20,-0.596067656006779,0.097,0.255,2.02666721830572e-16
"416","KIF5B",2.02371490224931e-20,-0.462442970163195,0.434,0.619,3.29764343321525e-16
"417","AREG",2.02412339126824e-20,0.683323619043391,0.152,0.018,3.29830906607159e-16
"418","NDUFS5",2.29697645630005e-20,-0.418463207511937,0.798,0.896,3.74292313554093e-16
"419","RPS29",2.49090865897821e-20,0.384181432142393,0.926,0.89,4.05893565980499e-16
"420","TBX21",2.84079341509739e-20,-0.506195167153124,0.196,0.388,4.62907286990119e-16
"421","ARF5",3.06962370552685e-20,-0.4754001280004,0.558,0.732,5.001951828156e-16
"422","ATP10D",3.17669649627209e-20,-0.355584907850963,0.021,0.134,5.17642694067537e-16
"423","TGFB1",3.27298788027525e-20,0.606127428226614,0.583,0.37,5.33333375090851e-16
"424","ISG20",4.05810655120714e-20,0.760233765283802,0.672,0.508,6.61268462519204e-16
"425","INSIG1",4.18276982965169e-20,1.40567952819134,0.306,0.129,6.81582343741743e-16
"426","DUSP2",4.23673906690038e-20,0.909033671233921,0.805,0.665,6.90376630951417e-16
"427","BNIP3",4.35537957503653e-20,0.362254205042904,0.123,0.006,7.09709101752202e-16
"428","ZBED2",5.3316945520302e-20,-0.971609430526173,0.16,0.337,8.68799627253322e-16
"429","NOP53",5.61690176942472e-20,0.451936022216843,0.822,0.663,9.15274143327758e-16
"430","MFF",6.11572694018365e-20,-0.50413932233899,0.247,0.433,9.96557704902926e-16
"431","RPL12",6.4877888285914e-20,0.37491552598895,0.99,0.986,1.05718518961897e-15
"432","GALM",7.56666138223676e-20,-0.475908963298103,0.232,0.435,1.23298747223548e-15
"433","KDM5B",7.73391972355999e-20,-0.564830735143357,0.23,0.412,1.2602422189541e-15
"434","RPL27",7.89547907997541e-20,0.291015444481752,0.981,0.981,1.28656831608199e-15
"435","TMEM59",8.34368753107976e-20,-0.457891953922578,0.584,0.754,1.35960388318945e-15
"436","SECISBP2L",8.42466552269125e-20,-0.514616230750686,0.221,0.405,1.37279924692254e-15
"437","FEZ1",9.55146979966193e-20,0.605808023391077,0.13,0.01,1.55641200385491e-15
